Klasa,Rozmiar klasy,Precyzja,Pełność,F1
pants-fire,116,0.00,0.00,0.00
false,263,0.29,0.21,0.24
barely-true,237,0.00,0.00,0.00
half-true,248,0.20,0.06,0.10
mostly-true,251,0.22,0.87,0.35
true,169,0.00,0.00,0.00
suma/średnia,1284,0.12,0.19,0.11
