Klasa,Rozmiar klasy,Precyzja,Pełność,F1
pants-fire,116,0.74,0.15,0.24
false,263,0.27,0.57,0.37
barely-true,237,0.00,0.00,0.00
half-true,248,0.28,0.23,0.25
mostly-true,251,0.25,0.51,0.34
true,169,0.00,0.00,0.00
suma/średnia,1284,0.26,0.24,0.20
