Klasa,Rozmiar klasy,Precyzja,Pełność,F1
pants-fire,116,0.62,0.37,0.46
false,263,0.34,0.30,0.32
barely-true,237,0.34,0.30,0.32
half-true,248,0.30,0.40,0.34
mostly-true,251,0.36,0.41,0.38
true,169,0.25,0.24,0.25
suma/średnia,1284,0.37,0.34,0.35
